,缺失值数量,缺失比例,方差
FD,0,0.0,5.078616274915593
FHB,0,0.0,0.0005319304820778659
Mature,0,0.0,1.855950646203308
cold,0,0.0,0.017791389392284064
gns,0,0.0,22.431879625732744
headingdate,0,0.0,6.234925811844417
height,0,0.0,305.06777120037395
kernelspikelet,0,0.0,0.0626847589519833
lodging,0,0.0,0.28425423043811543
spikelength,0,0.0,1.0521024154816625
spikelet,0,0.0,1.0230734047117205
sterilspike,0,0.0,0.1379247813760412
tiller,0,0.0,0.09263498448184894
tkw,0,0.0,17.60614227531475
yield,0,0.0,2103.0084059942874
