,spikelength,spikelet,lodging,kernelspikelet,height,headingdate,gns,FHB,cold,yield,tkw,tiller,sterilspike,FD,Mature
spikelength,1.0,0.44553031365808354,0.08492430698554183,0.05455695498882166,0.20650117517339697,0.1417347778466155,0.2888580851096506,0.08302404253298491,0.13162706825349252,-0.10696617902248703,-0.052252400023600286,-0.05176809665977011,0.272272362126276,0.17622547566345584,0.19561264858583002
spikelet,0.44553031365808354,1.0,0.03647706075611338,0.14003514884644225,0.09241286011121046,0.3570218922999282,0.479499042281081,-0.07353058412458502,0.07011845719815478,-0.14913652644529604,-0.24886665340110153,-0.11532572393827412,0.3523602978022967,0.3918314951949276,0.3652551827074269
lodging,0.08492430698554183,0.03647706075611338,1.0,-0.436714220170572,0.8651730106750989,0.37713823478019187,-0.3392135546083874,-0.05913124947422776,-0.2280566807576336,-0.6906288948559097,-0.4976399449866969,0.38915882413033787,0.3073630398462746,0.38300139884788525,0.19154373420832832
kernelspikelet,0.05455695498882166,0.14003514884644225,-0.436714220170572,1.0,-0.4287712489023656,-0.3249921832480748,0.8047330460979037,0.06847841127917713,0.17146888889560385,0.34597325067319884,0.05482078452919741,-0.3716305246854667,-0.386519711975314,-0.3203409047720877,-0.1757021571881851
height,0.20650117517339697,0.09241286011121046,0.8651730106750989,-0.4287712489023656,1.0,0.43400036523835206,-0.317844113916205,-0.0298509859203119,-0.17950634640781052,-0.6527927793038601,-0.4775602576363709,0.3781329939336386,0.37071047952435454,0.4253050888937765,0.23309556759583586
headingdate,0.1417347778466155,0.3570218922999282,0.37713823478019187,-0.3249921832480748,0.43400036523835206,1.0,-0.0975866710193294,-0.15095145110357044,-0.2251047639034896,-0.39496243037250356,-0.4213893660112039,0.2589071842172705,0.27459099084661454,0.9703432347990284,0.8217188756861312
gns,0.2888580851096506,0.479499042281081,-0.3392135546083874,0.8047330460979037,-0.317844113916205,-0.0975866710193294,1.0,0.07336423058155549,0.18076958698624204,0.28706745310825077,-0.05625337682669724,-0.347837799930196,-0.24171479048881298,-0.08094712708070781,0.06935649760427752
FHB,0.08302404253298491,-0.07353058412458502,-0.05913124947422776,0.06847841127917713,-0.0298509859203119,-0.15095145110357044,0.07336423058155549,1.0,0.05422290632666791,0.018580655222893566,-0.03930102109284199,-0.06842606853318224,-0.060075206432854966,-0.14560566771144792,-0.08105868642078838
cold,0.13162706825349252,0.07011845719815478,-0.2280566807576336,0.17146888889560385,-0.17950634640781052,-0.2251047639034896,0.18076958698624204,0.05422290632666791,1.0,0.023265224541968374,0.14809320257654449,-0.1450078415872477,-0.053360258719574304,-0.20181317832636086,-0.10015601723911355
yield,-0.10696617902248703,-0.14913652644529604,-0.6906288948559097,0.34597325067319884,-0.6527927793038601,-0.39496243037250356,0.28706745310825077,0.018580655222893566,0.023265224541968374,1.0,0.5358764452189898,-0.2563098850831562,-0.26674891005723506,-0.41554582243003607,-0.21048947106195404
tkw,-0.052252400023600286,-0.24886665340110153,-0.4976399449866969,0.05482078452919741,-0.4775602576363709,-0.4213893660112039,-0.05625337682669724,-0.03930102109284199,0.14809320257654449,0.5358764452189898,1.0,-0.34379659650013145,-0.15631940661801838,-0.4191890682210558,-0.24442078851914775
tiller,-0.05176809665977011,-0.11532572393827412,0.38915882413033787,-0.3716305246854667,0.3781329939336386,0.2589071842172705,-0.347837799930196,-0.06842606853318224,-0.1450078415872477,-0.2563098850831562,-0.34379659650013145,1.0,0.18228854175545808,0.25023056733655025,0.11156593495380017
sterilspike,0.272272362126276,0.3523602978022967,0.3073630398462746,-0.386519711975314,0.37071047952435454,0.27459099084661454,-0.24171479048881298,-0.060075206432854966,-0.053360258719574304,-0.26674891005723506,-0.15631940661801838,0.18228854175545808,1.0,0.29690225036379586,0.22407832851224804
FD,0.17622547566345584,0.3918314951949276,0.38300139884788525,-0.3203409047720877,0.4253050888937765,0.9703432347990284,-0.08094712708070781,-0.14560566771144792,-0.20181317832636086,-0.41554582243003607,-0.4191890682210558,0.25023056733655025,0.29690225036379586,1.0,0.8465457013780915
Mature,0.19561264858583002,0.3652551827074269,0.19154373420832832,-0.1757021571881851,0.23309556759583586,0.8217188756861312,0.06935649760427752,-0.08105868642078838,-0.10015601723911355,-0.21048947106195404,-0.24442078851914775,0.11156593495380017,0.22407832851224804,0.8465457013780915,1.0
