Trait,Model,Weight
FD,Ensemble,0.2038578539823009
FD,Lasso,0.2037541482300885
FD,LightGBM,0.20155558628318582
FD,RandomForest,0.18089740044247787
FD,XGBoost,0.20993501106194692
FHB,Ensemble,0.18994809121568043
FHB,Lasso,0.2132700419710537
FHB,LightGBM,0.19583672520060472
FHB,RandomForest,0.2171182695662286
FHB,XGBoost,0.18382687204643242
Mature,Ensemble,0.19722492993785795
Mature,Lasso,0.19016540757889608
Mature,LightGBM,0.20668331911782623
Mature,RandomForest,0.19370659193371514
Mature,XGBoost,0.2122197514317046
cold,Ensemble,0.20816242115059805
cold,Lasso,0.197459584295612
cold,LightGBM,0.19690806935300406
cold,RandomForest,0.19605494467615736
cold,XGBoost,0.2014149805246286
gns,Ensemble,0.21093215689516528
gns,Lasso,0.1984337539550719
gns,LightGBM,0.19290980557204812
gns,RandomForest,0.19538243008635398
gns,XGBoost,0.20234185349136086
headingdate,Ensemble,0.20090285353390366
headingdate,Lasso,0.199962680140093
headingdate,LightGBM,0.20408939541826954
headingdate,RandomForest,0.18665671470402478
headingdate,XGBoost,0.20838835620370905
height,Ensemble,0.19841007697690694
height,Lasso,0.1989923023093072
height,LightGBM,0.19753114065780267
height,RandomForest,0.20071098670398882
height,XGBoost,0.2043554933519944
kernelspikelet,Ensemble,0.19771345829487955
kernelspikelet,Lasso,0.19846131814276166
kernelspikelet,LightGBM,0.20340992266810934
kernelspikelet,RandomForest,0.20042643923240935
kernelspikelet,XGBoost,0.19998886166184004
lodging,Ensemble,0.20120351387811902
lodging,Lasso,0.2021011036636535
lodging,LightGBM,0.19835672023879078
lodging,RandomForest,0.1982026959560659
lodging,XGBoost,0.20013596626337096
spikelength,Ensemble,0.2219767053601241
spikelength,Lasso,0.1864160430538369
spikelength,LightGBM,0.19486182311001116
spikelength,RandomForest,0.18739811050222926
spikelength,XGBoost,0.2093473179737984
spikelet,Ensemble,0.21276595744680848
spikelet,Lasso,0.2101808808629835
spikelet,LightGBM,0.19575809047023066
spikelet,RandomForest,0.1796963466237559
spikelet,XGBoost,0.2015987245962215
sterilspike,Ensemble,0.1799490306041903
sterilspike,Lasso,0.19766803737755692
sterilspike,LightGBM,0.20879410017967084
sterilspike,RandomForest,0.19693131159741695
sterilspike,XGBoost,0.2166575202411649
tiller,Ensemble,0.1508519543708755
tiller,Lasso,0.213539322076106
tiller,LightGBM,0.21422893101037283
tiller,RandomForest,0.21321367341270217
tiller,XGBoost,0.2081661191299434
tkw,Ensemble,0.1817726926466415
tkw,Lasso,0.2088306023988409
tkw,LightGBM,0.204304769302006
tkw,RandomForest,0.1969782969125753
tkw,XGBoost,0.2081136387399364
yield,Ensemble,0.171929897796609
yield,Lasso,0.20963174775451707
yield,LightGBM,0.2095552169647889
yield,RandomForest,0.19941836599806587
yield,XGBoost,0.20946477148601922
